symbol,error_type,reason,failed_at
COLPAL.NS,ScreenerDataError,Screener returned no historical P/E observations for COLPAL.NS,2026-08-01T22:51:15.793740+00:00
CORALFINAC.NS,ScreenerDataError,Screener returned no historical P/E observations for CORALFINAC.NS,2026-08-01T23:55:36.033300+00:00
COUNCODOS.NS,ScreenerDataError,Screener returned no historical P/E observations for COUNCODOS.NS,2026-08-01T23:59:57.939091+00:00
CRAMC.NS,ScreenerDataError,Screener returned no historical P/E observations for CRAMC.NS,2026-08-01T23:14:42.828962+00:00
CREATIVEYE.NS,ScreenerDataError,Screener returned no historical P/E observations for CREATIVEYE.NS,2026-08-02T00:02:19.253395+00:00
CROWN.NS,ScreenerDataError,Screener returned no historical P/E observations for CROWN.NS,2026-08-01T23:55:41.617891+00:00
CSBBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for CSBBANK.NS,2026-08-01T23:12:16.610494+00:00
CSLFINANCE.NS,ScreenerDataError,Screener returned no historical P/E observations for CSLFINANCE.NS,2026-08-01T23:45:46.750681+00:00
CUB.NS,ScreenerDataError,Screener returned no historical P/E observations for CUB.NS,2026-08-01T22:57:04.011486+00:00
CUBEXTUB.NS,ScreenerDataError,Screener returned no historical P/E observations for CUBEXTUB.NS,2026-08-01T23:56:30.564284+00:00
CURAA.NS,ScreenerDataError,Screener returned no historical P/E observations for CURAA.NS,2026-08-01T23:58:19.479873+00:00
DATAPATTNS.NS,ScreenerDataError,Screener returned no historical P/E observations for DATAPATTNS.NS,2026-08-01T22:56:51.053887+00:00
DAVANGERE.NS,ScreenerDataError,Screener returned no historical P/E observations for DAVANGERE.NS,2026-08-01T23:45:20.318876+00:00
DCBBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for DCBBANK.NS,2026-08-01T23:12:33.842167+00:00
DCW.NS,ScreenerDataError,Screener returned no historical P/E observations for DCW.NS,2026-08-01T23:33:54.031615+00:00
DDEVPLSTIK.NS,ScreenerDataError,Screener returned no historical P/E observations for DDEVPLSTIK.NS,2026-08-01T23:22:52.379357+00:00
DECNGOLD.NS,ScreenerDataError,Screener returned no historical P/E observations for DECNGOLD.NS,2026-08-02T00:03:28.174756+00:00
DELTAMAGNT.NS,ScreenerDataError,Screener returned no historical P/E observations for DELTAMAGNT.NS,2026-08-01T23:58:55.063848+00:00
DENORA.NS,ScreenerDataError,Screener returned no historical P/E observations for DENORA.NS,2026-08-01T23:46:04.697722+00:00
DHANBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for DHANBANK.NS,2026-08-01T23:34:28.263892+00:00
DICIND.NS,ScreenerDataError,Screener returned no historical P/E observations for DICIND.NS,2026-08-01T23:45:56.931429+00:00
DIGJAMLMTD.NS,ScreenerDataError,Screener returned no historical P/E observations for DIGJAMLMTD.NS,2026-08-01T23:57:50.620630+00:00
DIVGIITTS.NS,ScreenerDataError,Screener returned no historical P/E observations for DIVGIITTS.NS,2026-08-01T23:24:05.121702+00:00
DNAMEDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for DNAMEDIA.NS,2026-08-02T00:00:57.600895+00:00
DRAGARWQ.NS,ScreenerDataError,Screener returned no historical P/E observations for DRAGARWQ.NS,2026-08-02T00:03:32.135461+00:00
DREDGECORP.NS,ScreenerDataError,Screener returned no historical P/E observations for DREDGECORP.NS,2026-08-01T23:23:58.538980+00:00
DWARKESH.NS,ScreenerDataError,Screener returned no historical P/E observations for DWARKESH.NS,2026-08-01T23:40:22.601589+00:00
DYCL.NS,ScreenerDataError,Screener returned no historical P/E observations for DYCL.NS,2026-08-01T23:30:03.879578+00:00
E2E.NS,ScreenerDataError,Screener returned no historical P/E observations for E2E.NS,2026-08-01T23:08:19.017111+00:00
EIHAHOTELS.NS,ScreenerDataError,Screener returned no historical P/E observations for EIHAHOTELS.NS,2026-08-01T23:29:20.064690+00:00
ELANTAS.NS,ScreenerDataError,Screener returned no historical P/E observations for ELANTAS.NS,2026-08-01T23:10:02.900864+00:00
ELLEN.NS,ScreenerDataError,Screener returned no historical P/E observations for ELLEN.NS,2026-08-01T23:18:04.291996+00:00
EMAMIPAP.NS,ScreenerDataError,Screener returned no historical P/E observations for EMAMIPAP.NS,2026-08-01T23:44:23.425328+00:00
ENRIN.NS,ScreenerDataError,Screener returned no historical P/E observations for ENRIN.NS,2026-08-01T22:46:58.668664+00:00
EQUITASBNK.NS,ScreenerDataError,Screener returned no historical P/E observations for EQUITASBNK.NS,2026-08-01T23:07:40.451834+00:00
ESABINDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for ESABINDIA.NS,2026-08-01T23:08:04.280400+00:00
ESAFSFB.NS,ScreenerDataError,Screener returned no historical P/E observations for ESAFSFB.NS,2026-08-01T23:30:14.681888+00:00
FEDFINA.NS,ScreenerDataError,Screener returned no historical P/E observations for FEDFINA.NS,2026-08-01T23:13:02.298855+00:00
FINOPB.NS,ScreenerDataError,Screener returned no historical P/E observations for FINOPB.NS,2026-08-01T23:33:03.153588+00:00
FIRSTCRY.NS,ScreenerDataError,Screener returned no historical P/E observations for FIRSTCRY.NS,2026-08-01T23:06:03.170667+00:00
FIVESTAR.NS,ScreenerDataError,Screener returned no historical P/E observations for FIVESTAR.NS,2026-08-01T23:00:06.641055+00:00
FRONTSP.NS,ScreenerDataError,Screener returned no historical P/E observations for FRONTSP.NS,2026-08-02T00:03:45.353949+00:00
FUSION.NS,ScreenerDataError,Screener returned no historical P/E observations for FUSION.NS,2026-08-01T23:19:40.860174+00:00
GANDHITUBE.NS,ScreenerDataError,Screener returned no historical P/E observations for GANDHITUBE.NS,2026-08-01T23:37:44.685324+00:00
GANESHCP.NS,ScreenerDataError,Screener returned no historical P/E observations for GANESHCP.NS,2026-08-01T23:42:13.131766+00:00
GEEKAYWIRE.NS,ScreenerDataError,Screener returned no historical P/E observations for GEEKAYWIRE.NS,2026-08-01T23:51:03.960622+00:00
GHCLTEXTIL.NS,ScreenerDataError,Screener returned no historical P/E observations for GHCLTEXTIL.NS,2026-08-01T23:37:11.182728+00:00
GILLETTE.NS,ScreenerDataError,Screener returned no historical P/E observations for GILLETTE.NS,2026-08-01T22:56:06.116147+00:00
GLOBALVECT.NS,ScreenerDataError,Screener returned no historical P/E observations for GLOBALVECT.NS,2026-08-01T23:52:09.138721+00:00
GOCOLORS.NS,ScreenerDataError,Screener returned no historical P/E observations for GOCOLORS.NS,2026-08-01T23:30:08.399415+00:00
GODIGIT.NS,ScreenerDataError,Screener returned no historical P/E observations for GODIGIT.NS,2026-08-01T22:56:02.868173+00:00
GOODYEAR.NS,ScreenerDataError,Screener returned no historical P/E observations for GOODYEAR.NS,2026-08-01T23:29:55.887814+00:00
GOPAL.NS,ScreenerDataError,Screener returned no historical P/E observations for GOPAL.NS,2026-08-01T23:21:15.268993+00:00
GPTHEALTH.NS,ScreenerDataError,Screener returned no historical P/E observations for GPTHEALTH.NS,2026-08-01T23:35:29.938361+00:00
GROBTEA.NS,ScreenerDataError,Screener returned no historical P/E observations for GROBTEA.NS,2026-08-01T23:56:57.749895+00:00
GRSE.NS,ScreenerDataError,Screener returned no historical P/E observations for GRSE.NS,2026-08-01T22:54:57.002282+00:00
GTLINFRA.NS,ScreenerDataError,Screener returned no historical P/E observations for GTLINFRA.NS,2026-08-01T23:32:07.721711+00:00
GUJRAFFIA.NS,ScreenerDataError,Screener returned no historical P/E observations for GUJRAFFIA.NS,2026-08-02T00:03:53.833949+00:00
GUJTHEM.NS,ScreenerDataError,Screener returned no historical P/E observations for GUJTHEM.NS,2026-08-01T23:18:10.423820+00:00
GVT&D.NS,ScreenerDataError,Screener returned no historical P/E observations for GVT&D.NS,2026-08-01T22:47:30.219170+00:00
HAVISHA.NS,ScreenerDataError,Screener returned no historical P/E observations for HAVISHA.NS,2026-08-02T00:01:52.505609+00:00
HAWKINCOOK.NS,ScreenerDataError,Screener returned no historical P/E observations for HAWKINCOOK.NS,2026-08-01T23:15:40.738293+00:00
HCL-INSYS.NS,ScreenerDataError,Screener returned no historical P/E observations for HCL-INSYS.NS,2026-08-01T23:47:41.830042+00:00
HECPROJECT.NS,ScreenerDataError,Screener returned no historical P/E observations for HECPROJECT.NS,2026-08-01T23:55:30.422273+00:00
HEIDELBERG.NS,ScreenerDataError,Screener returned no historical P/E observations for HEIDELBERG.NS,2026-08-01T23:20:05.574312+00:00
HEMIPROP.NS,ScreenerDataError,Screener returned no historical P/E observations for HEMIPROP.NS,2026-08-01T23:18:43.274049+00:00
HISARMETAL.NS,ScreenerDataError,Screener returned no historical P/E observations for HISARMETAL.NS,2026-08-01T23:58:09.622116+00:00
HOMEFIRST.NS,ScreenerDataError,Screener returned no historical P/E observations for HOMEFIRST.NS,2026-08-01T23:02:59.569254+00:00
HONAUT.NS,ScreenerDataError,Screener returned no historical P/E observations for HONAUT.NS,2026-08-01T22:53:46.594278+00:00
HONDAPOWER.NS,ScreenerDataError,Screener returned no historical P/E observations for HONDAPOWER.NS,2026-08-01T23:28:06.025279+00:00
ICICIGI.NS,ScreenerDataError,Screener returned no historical P/E observations for ICICIGI.NS,2026-08-01T22:49:03.228210+00:00
IGARASHI.NS,ScreenerDataError,Screener returned no historical P/E observations for IGARASHI.NS,2026-08-01T23:33:11.179790+00:00
INCREDIBLE.NS,ScreenerDataError,Screener returned no historical P/E observations for INCREDIBLE.NS,2026-08-01T23:54:06.356883+00:00
INDBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for INDBANK.NS,2026-08-01T23:54:33.233896+00:00
INDIANHUME.NS,ScreenerDataError,Screener returned no historical P/E observations for INDIANHUME.NS,2026-08-01T23:28:21.874661+00:00
INDIQUBE.NS,ScreenerDataError,Screener returned no historical P/E observations for INDIQUBE.NS,2026-08-01T23:20:16.928330+00:00
INDRAMEDCO.NS,ScreenerDataError,Screener returned no historical P/E observations for INDRAMEDCO.NS,2026-08-01T23:20:53.226897+00:00
INDTERRAIN.NS,ScreenerDataError,Screener returned no historical P/E observations for INDTERRAIN.NS,2026-08-01T23:54:11.730679+00:00
INFOMEDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for INFOMEDIA.NS,2026-08-02T00:01:26.066318+00:00
INGERRAND.NS,ScreenerDataError,Screener returned no historical P/E observations for INGERRAND.NS,2026-08-01T23:01:54.526042+00:00
INTERARCH.NS,ScreenerDataError,Screener returned no historical P/E observations for INTERARCH.NS,2026-08-01T23:22:04.913077+00:00
IRFC.NS,ScreenerDataError,Screener returned no historical P/E observations for IRFC.NS,2026-08-01T22:47:16.406655+00:00
IRISDOREME.NS,ScreenerDataError,Screener returned no historical P/E observations for IRISDOREME.NS,2026-08-01T23:40:44.667436+00:00
ISHANCH.NS,ScreenerDataError,Screener returned no historical P/E observations for ISHANCH.NS,2026-08-01T23:54:40.563726+00:00
JAGSNPHARM.NS,ScreenerDataError,Screener returned no historical P/E observations for JAGSNPHARM.NS,2026-08-01T23:32:58.953900+00:00
JAYNECOIND.NS,ScreenerDataError,Screener returned no historical P/E observations for JAYNECOIND.NS,2026-08-01T23:07:52.055872+00:00
JISLDVREQS.NS,ScreenerDataError,Screener returned no historical P/E observations for JISLDVREQS.NS,2026-08-01T23:31:51.101324+00:00
JSFB.NS,ScreenerDataError,Screener returned no historical P/E observations for JSFB.NS,2026-08-01T23:14:36.544832+00:00
KALYANIFRG.NS,ScreenerDataError,Screener returned no historical P/E observations for KALYANIFRG.NS,2026-08-01T23:51:50.470052+00:00
KARMAENG.NS,ScreenerDataError,Screener returned no historical P/E observations for KARMAENG.NS,2026-08-02T00:00:16.628328+00:00
KARURVYSYA.NS,ScreenerDataError,Screener returned no historical P/E observations for KARURVYSYA.NS,2026-08-01T22:54:50.916215+00:00
KEEPLEARN.NS,ScreenerDataError,Screener returned no historical P/E observations for KEEPLEARN.NS,2026-08-02T00:01:21.859765+00:00
KINGFA.NS,ScreenerDataError,Screener returned no historical P/E observations for KINGFA.NS,2026-08-01T23:10:59.542108+00:00
KIOCL.NS,ScreenerDataError,Screener returned no historical P/E observations for KIOCL.NS,2026-08-01T22:56:54.108137+00:00
KREBSBIO.NS,ScreenerDataError,Screener returned no historical P/E observations for KREBSBIO.NS,2026-08-01T23:56:14.327770+00:00
KRISHANA.NS,ScreenerDataError,Screener returned no historical P/E observations for KRISHANA.NS,2026-08-01T23:17:01.940026+00:00
KRITIKA.NS,ScreenerDataError,Screener returned no historical P/E observations for KRITIKA.NS,2026-08-01T23:54:28.833879+00:00
KRONOX.NS,ScreenerDataError,Screener returned no historical P/E observations for KRONOX.NS,2026-08-01T23:44:13.697375+00:00
KROSS.NS,ScreenerDataError,Screener returned no historical P/E observations for KROSS.NS,2026-08-01T23:35:41.741286+00:00
KSHINTL.NS,ScreenerDataError,Screener returned no historical P/E observations for KSHINTL.NS,2026-08-01T23:13:20.932319+00:00
KSR.NS,ScreenerDataError,Screener returned no historical P/E observations for KSR.NS,2026-08-01T23:59:25.841676+00:00
KUANTUM.NS,ScreenerDataError,Screener returned no historical P/E observations for KUANTUM.NS,2026-08-01T23:42:56.576312+00:00
KWIL.NS,ScreenerDataError,Screener returned no historical P/E observations for KWIL.NS,2026-08-01T23:09:33.755968+00:00
LAGNAM.NS,ScreenerDataError,Screener returned no historical P/E observations for LAGNAM.NS,2026-08-01T23:54:05.765331+00:00
LAL.NS,ScreenerDataError,Screener returned no historical P/E observations for LAL.NS,2026-08-01T23:54:31.396302+00:00
LAMBODHARA.NS,ScreenerDataError,Screener returned no historical P/E observations for LAMBODHARA.NS,2026-08-01T23:56:05.629926+00:00
LAOPALA.NS,ScreenerDataError,Screener returned no historical P/E observations for LAOPALA.NS,2026-08-01T23:28:28.335812+00:00
LASA.NS,ScreenerDataError,Screener returned no historical P/E observations for LASA.NS,2026-08-02T00:00:48.262353+00:00
LEXUS.NS,ScreenerDataError,Screener returned no historical P/E observations for LEXUS.NS,2026-08-02T00:01:02.907250+00:00
LFIC.NS,ScreenerDataError,Screener returned no historical P/E observations for LFIC.NS,2026-08-02T00:00:23.781659+00:00
LGEINDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for LGEINDIA.NS,2026-08-01T22:47:48.561948+00:00
LORDSCHLO.NS,ScreenerDataError,Screener returned no historical P/E observations for LORDSCHLO.NS,2026-08-01T23:47:03.953148+00:00
LOTUSEYE.NS,ScreenerDataError,Screener returned no historical P/E observations for LOTUSEYE.NS,2026-08-01T23:50:53.771759+00:00
LOVABLE.NS,ScreenerDataError,Screener returned no historical P/E observations for LOVABLE.NS,2026-08-01T23:56:33.623232+00:00
LPDC.NS,ScreenerDataError,Screener returned no historical P/E observations for LPDC.NS,2026-08-01T23:58:00.117319+00:00
MAANALU.NS,ScreenerDataError,Screener returned no historical P/E observations for MAANALU.NS,2026-08-01T23:42:28.642887+00:00
MACPOWER.NS,ScreenerDataError,Screener returned no historical P/E observations for MACPOWER.NS,2026-08-01T23:34:36.630251+00:00
MADRASFERT.NS,ScreenerDataError,Screener returned no historical P/E observations for MADRASFERT.NS,2026-08-01T23:37:07.958890+00:00
MAGADSUGAR.NS,ScreenerDataError,Screener returned no historical P/E observations for MAGADSUGAR.NS,2026-08-01T23:42:20.696694+00:00
MAHSCOOTER.NS,ScreenerDataError,Screener returned no historical P/E observations for MAHSCOOTER.NS,2026-08-01T23:01:38.472570+00:00
MALUPAPER.NS,ScreenerDataError,Screener returned no historical P/E observations for MALUPAPER.NS,2026-08-01T23:59:41.981743+00:00
MANAKALUCO.NS,ScreenerDataError,Screener returned no historical P/E observations for MANAKALUCO.NS,2026-08-01T23:51:17.159361+00:00
MANBA.NS,ScreenerDataError,Screener returned no historical P/E observations for MANBA.NS,2026-08-01T23:42:39.705970+00:00
MANGLMCEM.NS,ScreenerDataError,Screener returned no historical P/E observations for MANGLMCEM.NS,2026-08-01T23:24:34.348199+00:00
MANOMAY.NS,ScreenerDataError,Screener returned no historical P/E observations for MANOMAY.NS,2026-08-01T23:48:31.054876+00:00
MBAPL.NS,ScreenerDataError,Screener returned no historical P/E observations for MBAPL.NS,2026-08-01T23:12:54.856476+00:00
MCL.NS,ScreenerDataError,Screener returned no historical P/E observations for MCL.NS,2026-08-01T23:54:45.755753+00:00
MEDICO.NS,ScreenerDataError,Screener returned no historical P/E observations for MEDICO.NS,2026-08-01T23:49:01.300399+00:00
MEESHO.NS,ScreenerDataError,Screener returned no historical P/E observations for MEESHO.NS,2026-08-01T22:48:43.864108+00:00
MKPL.NS,ScreenerDataError,Screener returned no historical P/E observations for MKPL.NS,2026-08-01T23:53:35.141206+00:00
MODTHREAD.NS,ScreenerDataError,Screener returned no historical P/E observations for MODTHREAD.NS,2026-08-01T23:53:43.143011+00:00
MOKSH.NS,ScreenerDataError,Screener returned no historical P/E observations for MOKSH.NS,2026-08-01T23:57:26.782258+00:00
MONEYBOXX.NS,ScreenerDataError,Screener returned no historical P/E observations for MONEYBOXX.NS,2026-08-01T23:47:01.907392+00:00
MOTISONS.NS,ScreenerDataError,Screener returned no historical P/E observations for MOTISONS.NS,2026-08-01T23:32:05.651386+00:00
MSUMI.NS,ScreenerDataError,Screener returned no historical P/E observations for MSUMI.NS,2026-08-01T22:55:49.426328+00:00
MTNL.NS,ScreenerDataError,Screener returned no historical P/E observations for MTNL.NS,2026-08-01T23:30:34.213667+00:00
MUNJALSHOW.NS,ScreenerDataError,Screener returned no historical P/E observations for MUNJALSHOW.NS,2026-08-01T23:44:29.939422+00:00
MUTHOOTCAP.NS,ScreenerDataError,Screener returned no historical P/E observations for MUTHOOTCAP.NS,2026-08-01T23:48:07.554084+00:00
MUTHOOTMF.NS,ScreenerDataError,Screener returned no historical P/E observations for MUTHOOTMF.NS,2026-08-01T23:18:12.416937+00:00
MVGJL.NS,ScreenerDataError,Screener returned no historical P/E observations for MVGJL.NS,2026-08-01T23:41:22.737093+00:00
NAGREEKEXP.NS,ScreenerDataError,Screener returned no historical P/E observations for NAGREEKEXP.NS,2026-08-01T23:58:29.554618+00:00
NARMADA.NS,ScreenerDataError,Screener returned no historical P/E observations for NARMADA.NS,2026-08-01T23:54:21.109178+00:00
NATIONSTD.NS,ScreenerDataError,Screener returned no historical P/E observations for NATIONSTD.NS,2026-08-02T00:04:32.919005+00:00
NDL.NS,ScreenerDataError,Screener returned no historical P/E observations for NDL.NS,2026-08-01T23:48:34.902802+00:00
NETWEB.NS,ScreenerDataError,Screener returned no historical P/E observations for NETWEB.NS,2026-08-01T22:56:15.872116+00:00
NEXTMEDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for NEXTMEDIA.NS,2026-08-02T00:01:31.667004+00:00
NIBL.NS,ScreenerDataError,Screener returned no historical P/E observations for NIBL.NS,2026-08-01T23:58:06.035335+00:00
